"","Cena","Stanje","Marka","Tip","Model","Godiste","Kilometraza","Kubikaza","kW","KS","Broj.cilindara","Menjac","Boja","Registracija","Poreklo","Ostecenje"
"2149",1000,"Polovan motor","Suzuki","Naked","gs500e",1996,52000,500,25,34,2," Manuelni"," Crvena"," 06.2017.","Domace tablice"," Nije ostecen"
"2173",1200,"Polovan motor","Suzuki","Scooter","burgman 400",2000,38000,400,24,33,1," Automatski"," Crvena"," 05.2017.","Domace tablice"," Nije ostecen"
"2181",4100,"Polovan motor","Suzuki","Sport / Super sport","K5",2004,25000,600,88,120,4," Manuelni"," Plava"," 10.2017.","Domace tablice"," Nije ostecen"
"2210",5499,"Polovan motor","Suzuki","Scooter","burgman executive",2008,12000,650,44,60,2," Automatski"," Crna"," 05.2017.","Domace tablice"," Nije ostecen"
"2222",2200,"Polovan motor","Suzuki","Sport / Super sport","gsxr",2002,43000,600,85,116,NA," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"2227",1550,"Polovan motor","Suzuki","Sport / Super sport","rf 600r",1994,32000,600,76,103,4," Manuelni"," Narand탑asta"," 07.2017.","Domace tablice"," Nije ostecen"
"2248",2100,"Polovan motor","Suzuki","Sport / Super sport","SV 650 S 25kw",2001,22000,650,52,71,2," Manuelni"," Crvena"," 07.2017.","Domace tablice"," Nije ostecen"
"2252",1300,"Polovan motor","Suzuki","Sport / Super sport","Gsxr",1998,45000,600,86,117,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"2266",1280,"Polovan motor","Suzuki","Scooter","Burgman 250",2001,38000,249,17,23,1," Automatski"," Siva"," 06.2017.","Domace tablice"," Nije ostecen"
"2269",1800,"Polovan motor","Suzuki","Naked","GS500",2005,22152,498,35,48,2," Manuelni"," Plava"," 09.2017.","Domace tablice"," Nije ostecen"
"2272",1300,"Polovan motor","Suzuki","Scooter","burgman",2001,42371,250,17,23,1," Automatski"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"2304",1300,"Polovan motor","Suzuki","Supermoto","GSX600F",1999,54000,600,111,151,4," Manuelni"," Plava"," 08.2017.","Domace tablice"," Nije ostecen"
"2316",470,"Polovan motor","Suzuki","Enduro / Cross","ts",1983,31111,125,11,15,1," Manuelni"," Crvena"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"2324",1800,"Polovan motor","Suzuki","Touring","GSX750F",2000,41300,750,68,92,4," Manuelni"," Tirkiz"," 06.2017.","Domace tablice"," Nije ostecen"
"2329",2700,"Polovan motor","Suzuki","Scooter","Burgman 650",2005,19000,650,40,54,NA," Automatski"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"2331",4000,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1300 Hayabusa",2000,55144,1300,129,175,4," Manuelni"," Crna"," 03.2017.","Domace tablice"," Nije ostecen"
"2338",8300,"Polovan motor","Suzuki","Sport / Super sport","gsxr",2008,16357,1300,145,197,4," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"2343",6500,"Polovan motor","Suzuki","Enduro / Cross","Vstrom 650",2016,10700,650,50,68,2," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"2346",850,"Polovan motor","Suzuki","Sport / Super sport","Gsx600f",1990,50000,599,63,86,4," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
"2354",1400,"Polovan motor","Suzuki","Sport / Super sport","GSX 750 R",1991,65000,7,87,118,4," Manuelni"," Crna"," 09.2017.","Domace tablice"," Nije ostecen"
"2357",1100,"Polovan motor","Suzuki","Sport / Super sport","srad",1996,38101,750,74,101,NA," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"2367",3300,"Polovan motor","Suzuki","Scooter","Burgman 400",2009,39000,400,25,34,NA," Manuelni"," Siva"," 05.2017.","Domace tablice"," Nije ostecen"
"2378",2750,"Polovan motor","Suzuki","Naked","BANDIT 1200 N",2002,41000,1200,72,98,4," Manuelni"," Siva"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"2379",1350,"Polovan motor","Suzuki","Enduro / Cross","XF650 FreeWind",1998,43832,650,35,47,1," Manuelni"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"2387",1200,"Polovan motor","Suzuki","Scooter","burgman",2000,60000,400,25,34,1," Automatski"," Siva"," 07.2017.","Domace tablice"," Nije ostecen"
"2390",2200,"Polovan motor","Suzuki","Sport / Super sport","gsxr 1000 k2",2002,47650,1000,117,159,4," Manuelni"," Crna"," 04.2017.","Domace tablice"," Nije ostecen"
"2392",2100,"Polovan motor","Suzuki","Scooter","Burgman 400",2005,32150,400,24,32,1," Automatski"," Siva"," 01.2018.","Domace tablice"," Nije ostecen"
"2393",3500,"Polovan motor","Suzuki","Touring","V STROM DL 1000",2004,34500,1000,72,98,2," Manuelni"," Siva"," 05.2017.","Domace tablice"," Nije ostecen"
"2402",6500,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1000 K7",2007,22000,998,136,185,4," Manuelni"," Bela"," 03.2017.","Domace tablice"," Nije ostecen"
"2403",4800,"Polovan motor","Suzuki","Sport / Super sport","GSXR",2007,24000,600,96,131,4," Manuelni"," Crvena"," 08.2016.","Domace tablice"," Nije ostecen"
"2411",2350,"Polovan motor","Suzuki","Sport / Super sport","gsxr",2001,34150,600,88,120,4," Manuelni"," Plava"," 07.2017.","Domace tablice"," Nije ostecen"
"2430",4450,"Polovan motor","Suzuki","Chopper / Cruiser","boulevard 800 /intruder/",2006,3753,805,39,53,4," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"2441",2700,"Polovan motor","Suzuki","Scooter","burgman 400z",2008,5899,400,25,34,1," Automatski"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"2482",1050,"Polovan motor","Suzuki","Enduro / Cross","Freewind HITNOO",1997,49000,650,35,48,1," Manuelni"," Zelena"," Nije registrovan","Domace tablice"," Nije ostecen"
"2484",1280,"Polovan motor","Suzuki","Scooter","Burgman 150",2004,25000,152,11,15,4," Automatski"," Teget"," 09.2017.","Domace tablice"," Nije ostecen"
"2487",750,"Polovan motor","Suzuki","Sport / Super sport","gsx1100f hitnoooooo",1994,55844,1098,66,90,4," Manuelni"," Plava"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"2490",4750,"Polovan motor","Suzuki","Chopper / Cruiser","s50",2007,3700,800,147,200,2," Manuelni"," Crna"," 05.2017.","Domace tablice"," Nije ostecen"
"2512",1550,"Polovan motor","Suzuki","Chopper / Cruiser","LS 650 Savage",1994,36000,652,23,31,1," Manuelni",""," 06.2016.","Domace tablice"," Nije ostecen"
"2520",1700,"Polovan motor","Suzuki","Sport / Super sport","strad 750",1998,44000,750,98,133,4," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"2524",4450,"Polovan motor","Suzuki","Chopper / Cruiser","boulevard 800 /intruder/",2006,3753,805,39,53,4," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"2525",5000,"Polovan motor","Suzuki","Sport / Super sport","Gsxr",2006,43500,600,88,120,4," Manuelni"," Crna"," 07.2017.","Domace tablice"," Nije ostecen"
"2532",1850,"Polovan motor","Suzuki","Naked","Bandit 600 GSF 25 KW",1996,57000,600,25,34,4," Manuelni"," Plava"," 04.2017.","Domace tablice"," Nije ostecen"
"2533",3490,"Polovan motor","Suzuki","Naked","INAZUMA 250",2015,4640,248,18,24,2," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"2536",1400,"Polovan motor","Suzuki","Sport / Super sport","750 Gsxf",1992,36534,748,54,73,4," Manuelni"," Crna"," 01.2018.","Domace tablice"," Nije ostecen"
"2540",1500,"Polovan motor","Suzuki","Sport / Super sport","gsxr 600 srad",1997,41000,600,78,106,4," Manuelni"," Plava"," 07.2017.","Domace tablice"," Nije ostecen"
"2551",1300,"Polovan motor","Suzuki","Sport / Super sport","Srad",1996,56325,749,72,98,4," Manuelni","Zuta"," Nije registrovan","Domace tablice"," Nije ostecen"
"2555",2200,"Polovan motor","Suzuki","Oldtimer","GN 400 Tracker",1981,29000,395,20,27,1," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"2563",1650,"Polovan motor","Suzuki","Sport / Super sport","GSXF 600 A2",1998,50000,600,25,34,NA," Manuelni"," Plava"," 11.2017.","Domace tablice"," Nije ostecen"
"2580",1800,"Polovan motor","Suzuki","Scooter","burgman 200",2008,19000,200,14,18,1," Automatski"," Siva"," 10.2017.","Domace tablice"," Nije ostecen"
"2600",800,"Polovan motor","Suzuki","Sport / Super sport","600RF",1995,56524,600,72,98,4," Manuelni"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"2610",3000,"Polovan motor","Suzuki","Chopper / Cruiser","Intruder",1994,33000,805,37,50,2," Manuelni"," Crna"," 10.2017.","Domace tablice"," Nije ostecen"
"2613",6800,"Polovan motor","Suzuki","Sport / Super sport","GSXR 600",2011,18600,600,93,126,NA," Manuelni",""," 09.2017.","Domace tablice"," Nije ostecen"
"2623",4700,"Polovan motor","Suzuki","Enduro / Cross","V Strom DL 650",2008,42000,645,49,67,2," Manuelni"," Siva"," 04.2017.","Domace tablice"," Nije ostecen"
"2626",380,"Polovan motor","Suzuki","Sport / Super sport","rg125",1994,45000,125,7,10,1," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"2628",3550,"Polovan motor","Suzuki","Sport / Super sport","GSXR 600",2005,27000,597,95,129,4," Manuelni"," Crna"," 10.2016.","Domace tablice"," Nije ostecen"
"2630",4450,"Polovan motor","Suzuki","Chopper / Cruiser","boulevard 800 /intruder/",2006,3753,805,39,53,4," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"2632",3999,"Polovan motor","Suzuki","Naked","Bandit S",2008,14720,650,62,84,4," Manuelni",""," 07.2017.","Domace tablice"," Nije ostecen"
"2633",6200,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1000",2007,29000,999,136,185,4," Manuelni"," Plava"," 06.2017.","Domace tablice"," Nije ostecen"
"2634",4750,"Polovan motor","Suzuki","Chopper / Cruiser","M800",2007,35000,800,40,54,2," Automatski"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"2639",1850,"Polovan motor","Suzuki","Scooter","burgman 400",2003,63000,400,24,33,1," Automatski"," Plava"," 06.2017.","Domace tablice"," Nije ostecen"
"2645",7200,"Polovan motor","Suzuki","Sport / Super sport","GSXR 750",2010,12600,750,110,150,4," Manuelni"," Bela"," 07.2017.","Domace tablice"," Nije ostecen"
"2646",500,"Polovan motor","Suzuki","Sport / Super sport","RG",1990,20000,125,15,20,1," Manuelni",""," Nije registrovan","Domace tablice"," Nije ostecen"
"2657",1950,"Polovan motor","Suzuki","Naked","VX 800",1996,39000,805,33,45,2," Manuelni"," Bordo"," 03.2017.","Domace tablice"," Nije ostecen"
"2671",1600,"Polovan motor","Suzuki","Scooter","Burgman za automobil",2001,38000,386,27,37,1," Automatski"," Teget"," Nije registrovan","Domace tablice"," Nije ostecen"
"2685",1580,"Polovan motor","Suzuki","Scooter","Burgman",2002,32210,400,23,31,1," Automatski"," Teget"," 07.2017.","Domace tablice"," Nije ostecen"
"2704",1350,"Polovan motor","Suzuki","Scooter","Burgman 250",2003,38000,249,17,23,1," Automatski"," Plava"," 08.2017.","Domace tablice"," Nije ostecen"
"2706",1250,"Polovan motor","Suzuki","Sport / Super sport","gsxr 750",1992,59400,750,74,101,4," Manuelni"," Crna"," 10.2017.","Domace tablice"," Nije ostecen"
"2715",3300,"Polovan motor","Suzuki","Naked","GSR",2006,37000,600,72,98,4," Manuelni"," Plava"," 01.2018.","Domace tablice"," Nije ostecen"
"2731",3990,"Polovan motor","Suzuki","Touring","V strom 650",2007,31650,645,49,67,2," Manuelni"," Plava"," 03.2017.","Domace tablice"," Nije ostecen"
"2732",3350,"Polovan motor","Suzuki","Sport / Super sport","GSXR",2004,29200,600,90,122,4," Manuelni",""," Nije registrovan","Domace tablice"," Nije ostecen"
"2757",3600,"Polovan motor","Suzuki","Naked","GSR 600",2007,23000,599,72,98,4," Manuelni"," Siva"," 04.2017.","Domace tablice"," Nije ostecen"
"2768",1900,"Polovan motor","Suzuki","Naked","bandit",1997,54000,600,25,34,4," Manuelni"," Crvena"," 07.2017.","Domace tablice"," Nije ostecen"
"2773",13950,"Polovan motor","Suzuki","Sport / Super sport","GSXR1000",2017,10,999,151,205,4," Manuelni"," Plava"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"2780",1650,"Polovan motor","Suzuki","Scooter","burgman 400",2004,30000,400,25,34,1," Automatski"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"2781",4450,"Polovan motor","Suzuki","Chopper / Cruiser","boulevard 800 /intruder/",2006,3753,805,39,53,4," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"2785",700,"Polovan motor","Suzuki","Enduro / Cross","tsx",1990,25000,125,12,16,1," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"2795",950,"Polovan motor","Suzuki","Scooter","burgman 400",2000,43000,385,24,32,1," Automatski"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"2801",1950,"Polovan motor","Suzuki","Scooter","burgman",2008,45000,400,33,45,1," Automatski"," Plava"," Nije registrovan"," Strane tablice"," Nije ostecen"
"2805",3950,"Polovan motor","Suzuki","Sport / Super sport","bandit gsf 650",2009,25180,656,57,77,4," Manuelni"," Srebrna"," 05.2017.","Domace tablice"," Nije ostecen"
"2810",3300,"Polovan motor","Suzuki","Scooter","BURGMAN",2009,18000,400,25,34,NA," Automatski"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"2819",8500,"Polovan motor","Suzuki","Enduro / Cross","V strom 650xt",2015,20000,650,52,71,2," Manuelni"," Siva"," 07.2017.","Domace tablice"," Nije ostecen"
"2820",6490,"Polovan motor","Suzuki","Enduro / Cross","V Strom",2014,14000,650,51,69,2," Manuelni"," Plava"," 03.2017.","Domace tablice"," Nije ostecen"
"2824",650,"Polovan motor","Suzuki","Naked","gs 500",1992,3000,500,34,46,2," Manuelni"," Bela"," 05.2017.","Domace tablice"," Nije ostecen"
"2829",800,"Polovan motor","Suzuki","Enduro / Cross","RM",2002,5,85,16,22,1," Manuelni",""," Nije registrovan"," Strane tablice"," Nije ostecen"
"2840",1350,"Polovan motor","Suzuki","Enduro / Cross","DR 850 S",1990,56762,779,35,48,1," Manuelni"," Plava"," 05.2017.","Domace tablice"," Nije ostecen"
"2842",600,"Polovan motor","Suzuki","Enduro / Cross","dr",1987,15224,600,37,50,1," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"2845",1300,"Polovan motor","Suzuki","Sport / Super sport","gsxr",1999,62000,600,74,100,NA," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"2846",4300,"Polovan motor","Suzuki","Sport / Super sport","GSXR 600 K7",2008,35000,600,92,125,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"2847",2500,"Polovan motor","Suzuki","Scooter","burgman",2010,35000,200,13,18,NA," Automatski"," Plava"," 06.2017.","Domace tablice"," Nije ostecen"
"2856",1600,"Polovan motor","Suzuki","Sport / Super sport","GSXR SRAD",1999,38700,600,81,110,4," Manuelni"," Bela"," 06.2017.","Domace tablice"," Nije ostecen"
"2887",5300,"Polovan motor","Suzuki","Chopper / Cruiser","VL1500",2002,15500,1500,50,68,2," Manuelni"," Bela"," 01.2017.","Domace tablice"," Nije ostecen"
"2893",7000,"Polovan motor","Suzuki","Enduro / Cross","V strom",2008,33000,996,72,98,2," Manuelni"," Siva"," 06.2017.","Domace tablice"," Nije ostecen"
"2895",1800,"Polovan motor","Suzuki","Sport / Super sport","GSXF 600 A2",1998,35000,600,25,34,4," Manuelni"," Plava"," 06.2017.","Domace tablice"," Nije ostecen"
"2899",1299,"Polovan motor","Suzuki","Sport / Super sport","gsxf",1990,10500,1127,66,90,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"2903",1350,"Polovan motor","Suzuki","Scooter","AN 125",2008,2500,125,7,10,1," Automatski"," Crvena"," 07.2017.","Domace tablice"," Nije ostecen"
"2914",1900,"Polovan motor","Suzuki","Scooter","Burgman",2005,28000,400,25,34,1," Automatski"," Siva"," 07.2017.","Domace tablice"," Nije ostecen"
"2923",1700,"Polovan motor","Suzuki","Naked","Bandit",1996,60432,599,55,75,4," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
"2928",1250,"Polovan motor","Suzuki","Enduro / Cross","DR 800 Big",1991,44000,779,29,39,1," Manuelni"," Crvena"," 08.2017.","Domace tablice"," Nije ostecen"
"2953",7499,"Polovan motor","Suzuki","Chopper / Cruiser","VLR 1800",2008,8900,1783,84,114,NA," Manuelni"," Crna"," 08.2016.","Domace tablice"," Nije ostecen"
"2968",900,"Polovan motor","Suzuki","Sport / Super sport","Gsx 600F",1992,35000,599,63,86,4," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
"2970",2000,"Polovan motor","Suzuki","Sport / Super sport","RF900R",1997,40000,900,99,135,4," Manuelni"," Ljubi훾asta"," 04.2017.","Domace tablice"," Nije ostecen"
"2973",6500,"Polovan motor","Suzuki","Sport / Super sport","GSX R 600 K8",2008,18000,600,92,125,4," Manuelni"," Plava"," 04.2016.","Domace tablice"," Nije ostecen"
"2980",4300,"Polovan motor","Suzuki","Chopper / Cruiser","Intruder",2004,15000,805,39,53,4," Automatski"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"2990",280,"Polovan motor","Suzuki","Scooter","Adress 50",1998,8000,50,2,3,1," Automatski"," Narand탑asta"," 04.2017.","Domace tablice"," Nije ostecen"
"3009",800,"Polovan motor","Suzuki","Naked","GS 500 E",1990,50000,500,34,46,2," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
"3011",2700,"Polovan motor","Suzuki","Naked","gsf1200 bandit",2000,53000,1157,74,100,4," Manuelni"," Crvena"," 05.2017.","Domace tablice"," Nije ostecen"
"3020",1200,"Polovan motor","Suzuki","Touring","gs450s",1988,25000,444,31,42,2," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3024",1700,"Polovan motor","Suzuki","Scooter","Burgman",2003,28000,400,24,33,1," Automatski"," Siva"," 03.2017.","Domace tablice"," Nije ostecen"
"3029",2200,"Polovan motor","Suzuki","Sport / Super sport","gsxf 750",2003,14000,750,77,105,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3052",2050,"Polovan motor","Suzuki","Naked","GSF 1200S Bandit",2002,42000,1159,72,98,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"3059",1800,"Polovan motor","Suzuki","Scooter","Burgman",2004,25674,400,25,34,1," Automatski",""," 09.2017.","Domace tablice"," Nije ostecen"
"3065",3350,"Polovan motor","Suzuki","Scooter","burgman",2008,19000,400,25,34,4," Automatski"," Tirkiz"," Nije registrovan","Domace tablice"," Nije ostecen"
"3080",3800,"Polovan motor","Suzuki","Enduro / Cross","DL 1000 Vstrom",2003,35800,1000,73,99,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"3091",700,"Polovan motor","Suzuki","Sport / Super sport","Gsxr",1992,40000,750,58,79,4," Manuelni","Zuta"," Nije registrovan","Domace tablice"," Nije ostecen"
"3094",2700,"Polovan motor","Suzuki","Sport / Super sport","gsxr",2007,33000,750,115,156,4," Manuelni"," Bela"," 07.2017.","Domace tablice"," ostecen - u voznom stanju"
"3095",3700,"Polovan motor","Suzuki","Scooter","burgman",2007,19000,650,41,56,2," Automatski",""," 06.2017.","Domace tablice"," Nije ostecen"
"3103",5100,"Polovan motor","Suzuki","Touring","V STROM 1000",2005,41150,996,72,98,2," Manuelni"," Srebrna"," 01.2018.","Domace tablice"," Nije ostecen"
